Timestamp	Name	Comment
2019/05/01 20:53:27.141	CCS.S2	Changed CCS.S2 RT Calpoint 977.3 To 987.6644293645898 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:27.539	CCS.S2	Changed CCS.S2 RT Calpoint 977.3 To 987.664552745219 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:27.992	CCS.F1	Changed CCS.F1 RT Calpoint 1023.4 To 1023.9946761258483 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:28.424	CCS.F1	Changed CCS.F1 RT Calpoint 1023.4 To 1023.9939913633558 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:28.840	CCS.F1	Changed CCS.F1 RT Calpoint 1023.4 To 1023.9947069710055 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:29.270	CCS.F2	Changed CCS.F2 RT Calpoint 1019.8 To 1020.170746452807 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:29.686	CCS.F2	Changed CCS.F2 LN2 Calpoint 1378.9 To 1246.1013510178902 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:30.097	CCS.F2	Changed CCS.F2 RT Calpoint 1019.8 To 1020.170629241209 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:30.498	CCS.F2	Changed CCS.F2 RT Calpoint 1019.8 To 1020.1707649599014 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:30.898	CCS.F2	Changed CCS.F2 LN2 Calpoint 1378.9 To 1245.9983466995682 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:31.299	CCS.F2	Changed CCS.F2 LN2 Calpoint 1378.9 To 1246.2048118445405 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:31.721	CCS.F3	Changed CCS.F3 LN2 Calpoint 1217.3 To 1780.3693892658855 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:32.143	CCS.F3	Changed CCS.F3 LHe Calpoint 3340.1 To 2810.7229611351017 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:32.591	CCS.F3	Changed CCS.F3 LHe Calpoint 3340.1 To 2810.7041147439854 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:32.993	CCS.F3	Changed CCS.F3 RT Calpoint 905.1 To 930.1215299198026 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:33.394	CCS.F3	Changed CCS.F3 LN2 Calpoint 1217.3 To 1780.3694139420113 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:33.815	CCS.F3	Changed CCS.F3 RT Calpoint 905.1 To 930.1215299198026 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:34.234	CCS.F3	Changed CCS.F3 LN2 Calpoint 1217.3 To 1780.3693892658855 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:34.639	CCS.F3	Changed CCS.F3 LHe Calpoint 3340.1 To 2810.6473904996915 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:35.059	CCS.F3	Changed CCS.F3 RT Calpoint 905.1 To 930.1215360888341 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:35.513	CCS.F4	Changed CCS.F4 LHe Calpoint 3501.9 To 2813.2259839605185 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:35.944	CCS.F4	Changed CCS.F4 RT Calpoint 1019.3 To 1056.0085379395434 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:36.368	CCS.F4	Changed CCS.F4 LN2 Calpoint 1343.7 To 2061.368821714991 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:36.785	CCS.F4	Changed CCS.F4 LHe Calpoint 3501.9 To 2813.631739666873 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:37.263	CCS.F4	Changed CCS.F4 RT Calpoint 1019.3 To 1056.008544108575 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:37.675	CCS.F4	Changed CCS.F4 LHe Calpoint 3501.9 To 2813.6499383096852 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:38.096	CCS.F4	Changed CCS.F4 LN2 Calpoint 1343.7 To 2061.369265885256 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:38.544	CCS.F4	Changed CCS.F4 LN2 Calpoint 1343.7 To 2061.3688587291795 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:38.968	CCS.F4	Changed CCS.F4 RT Calpoint 1019.3 To 1056.008544108575 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:39.414	AB.F5	Changed AB.F5 LHe Calpoint 1329.0 To 812.8933621221469 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:39.817	AB.F5	Changed AB.F5 LN2 Calpoint 161.377 To 155.00226835286858 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:40.210	AB.F5	Changed AB.F5 RT Calpoint 127.62 To 145.22911721159778 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:40.608	AB.F5	Changed AB.F5 RT Calpoint 127.62 To 145.22913263417644 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:40.997	AB.F5	Changed AB.F5 RT Calpoint 127.62 To 145.22912584824184 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:41.405	AB.F5	Changed AB.F5 LHe Calpoint 1329.0 To 812.8898334361505 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:41.859	AB.F5	Changed AB.F5 LN2 Calpoint 161.377 To 155.00146082665023 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:42.243	AB.F5	Changed AB.F5 LN2 Calpoint 161.377 To 155.0006526835287 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:42.622	AB.F5	Changed AB.F5 LHe Calpoint 1329.0 To 812.8927698951264 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:43.029	AB.F6	Changed AB.F6 LN2 Calpoint 160.14 To 156.82266687230106 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:43.427	AB.F6	Changed AB.F6 LHe Calpoint 1287.0 To 1429.869130166564 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:43.818	AB.F6	Changed AB.F6 LN2 Calpoint 160.14 To 156.82266563849478 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:44.208	AB.F6	Changed AB.F6 RT Calpoint 126.977 To 142.87829734731648 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:44.595	AB.F6	Changed AB.F6 RT Calpoint 126.977 To 142.87829673041333 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:44.980	AB.F6	Changed AB.F6 RT Calpoint 126.977 To 142.87829487970387 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:45.363	AB.F6	Changed AB.F6 LHe Calpoint 1287.0 To 1429.8691980259098 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:45.746	AB.F6	Changed AB.F6 LN2 Calpoint 160.14 To 156.82267057371993 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:46.171	AB.F6	Changed AB.F6 LHe Calpoint 1287.0 To 1429.869043800123 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:46.559	CCS.F7	Changed CCS.F7 RT Calpoint 1004.1 To 1079.5594818013574 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:46.981	CCS.F7	Changed CCS.F7 LN2 Calpoint 1332.5 To 1548.6534916718076 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:47.391	CCS.F7	Changed CCS.F7 LHe Calpoint 3521.7 To 3512.6819864281306 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:47.798	CCS.F7	Changed CCS.F7 LN2 Calpoint 1332.5 To 1548.6109685379395 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:48.212	CCS.F7	Changed CCS.F7 RT Calpoint 1004.1 To 1079.559463294263 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:48.619	CCS.F7	Changed CCS.F7 LHe Calpoint 3521.7 To 3512.682603331277 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:49.025	CCS.F7	Changed CCS.F7 LHe Calpoint 3521.7 To 3512.6853177051207 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:49.437	CCS.F7	Changed CCS.F7 LN2 Calpoint 1332.5 To 1548.6321159777913 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:49.843	CCS.F7	Changed CCS.F7 RT Calpoint 1004.1 To 1079.5594941394202 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:50.266	CCS.F8	Changed CCS.F8 LHe Calpoint 3573.0 To 3576.0429981492907 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:50.732	CCS.F8	Changed CCS.F8 LHe Calpoint 3573.0 To 3576.042813078347 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:51.160	CCS.F8	Changed CCS.F8 RT Calpoint 1006.4 To 1079.6178223318939 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:51.575	CCS.F8	Changed CCS.F8 LHe Calpoint 3573.0 To 3576.0428747686615 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:52.027	CCS.F8	Changed CCS.F8 LN2 Calpoint 1329.6 To 1293.6050956199877 From keeper_data_original_20190501204142.pk
