Time	State
3/13/2019 10:39:18 AM	0
3/13/2019 10:39:32 AM	0
3/13/2019 10:39:52 AM	0
3/13/2019 10:40:12 AM	0
3/13/2019 10:40:32 AM	0
3/13/2019 10:40:52 AM	0
3/13/2019 10:41:12 AM	0
3/13/2019 10:41:32 AM	0
3/13/2019 10:41:52 AM	0
3/13/2019 10:42:12 AM	0
3/13/2019 10:42:32 AM	0
3/13/2019 10:42:52 AM	0
3/13/2019 10:43:12 AM	0
3/13/2019 10:43:32 AM	0
3/13/2019 10:43:52 AM	0
3/13/2019 10:44:12 AM	0
3/13/2019 10:44:32 AM	0
3/13/2019 10:44:52 AM	0
3/13/2019 10:45:12 AM	0
3/13/2019 10:45:32 AM	0
3/13/2019 10:45:52 AM	0
3/13/2019 10:46:12 AM	0
3/13/2019 10:46:32 AM	0
3/13/2019 10:46:52 AM	0
3/13/2019 10:47:12 AM	0
3/13/2019 10:47:32 AM	0
3/13/2019 10:47:52 AM	0
3/13/2019 10:48:12 AM	0
3/13/2019 10:48:32 AM	0
3/13/2019 10:48:52 AM	0
3/13/2019 10:49:12 AM	0
3/13/2019 10:49:32 AM	0
3/13/2019 10:49:52 AM	0
3/13/2019 10:50:12 AM	0
3/13/2019 10:50:32 AM	0
3/13/2019 10:50:52 AM	0
3/13/2019 10:51:12 AM	0
3/13/2019 10:51:32 AM	0
3/13/2019 10:51:52 AM	0
3/13/2019 10:52:12 AM	0
3/13/2019 10:52:32 AM	0
3/13/2019 10:52:52 AM	0
3/13/2019 10:53:12 AM	0
3/13/2019 10:53:32 AM	0
3/13/2019 10:53:52 AM	0
3/13/2019 10:54:12 AM	0
3/13/2019 10:54:32 AM	0
3/13/2019 10:54:52 AM	0
3/13/2019 10:55:12 AM	0
3/13/2019 10:55:32 AM	0
3/13/2019 10:55:52 AM	0
3/13/2019 10:56:12 AM	0
3/13/2019 10:56:32 AM	0
3/13/2019 10:56:52 AM	0
3/13/2019 10:57:12 AM	0
3/13/2019 10:57:32 AM	0
3/13/2019 10:57:52 AM	0
3/13/2019 10:58:12 AM	0
3/13/2019 10:58:32 AM	0
3/13/2019 10:58:52 AM	0
3/13/2019 10:59:12 AM	0
3/13/2019 10:59:32 AM	0
3/13/2019 10:59:52 AM	0
3/13/2019 11:00:12 AM	0
3/13/2019 11:00:32 AM	0
3/13/2019 11:00:52 AM	0
3/13/2019 11:01:12 AM	0
3/13/2019 11:01:32 AM	0
3/13/2019 11:01:52 AM	0
3/13/2019 11:02:12 AM	0
3/13/2019 11:02:32 AM	0
3/13/2019 11:02:52 AM	0
3/13/2019 11:03:12 AM	0
3/13/2019 11:03:32 AM	0
3/13/2019 11:03:52 AM	0
3/13/2019 11:04:12 AM	0
3/13/2019 11:04:32 AM	0
3/13/2019 11:04:52 AM	0
3/13/2019 11:05:12 AM	0
3/13/2019 11:05:32 AM	0
3/13/2019 11:05:52 AM	0
3/13/2019 11:06:12 AM	0
3/13/2019 11:06:32 AM	0
3/13/2019 11:06:52 AM	0
3/13/2019 11:07:12 AM	0
3/13/2019 11:07:32 AM	0
